Ref,Val,Package,PosX,PosY,Rot,Side
"C70","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",170.347900,-105.420600,-90.000000,top
"C71","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.861200,-118.824600,-90.000000,top
"C72","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",176.821200,-118.764600,-90.000000,top
"C73","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",207.960000,-105.380000,-90.000000,top
"C74","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",201.320000,-100.430000,180.000000,top
"C75","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.591200,-106.884600,-90.000000,top
"C76","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",196.386200,-109.284600,180.000000,top
"C77","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",191.305400,-105.420600,-90.000000,top
"C78","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",202.871200,-118.824600,-90.000000,top
"C79","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.831200,-118.784600,-90.000000,top
"C80","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",157.346030,-96.040000,-90.000000,top
"IC6","AD5673RBCPZ-1","QFN40P400X400X100-29N-D",163.620000,-96.150000,0.000000,top
"J2","09185346323","09185346323",101.090000,-117.140000,90.000000,top
"L2","22u","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.925000,-96.825000,0.000000,top
"R15","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.471150,-99.182500,180.000000,top
"R16","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.968850,-89.510000,0.000000,top
"R17","3K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",131.468850,-91.010000,-90.000000,top
"R18","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",127.908650,-93.612500,90.000000,top
"R19","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.627500,-87.380000,0.000000,top
"R20","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.627500,-85.860000,0.000000,top
"R21","4.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",194.353100,-78.792700,0.000000,top
"R22","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.627500,-84.330000,0.000000,top
"R23","4.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",195.214800,-74.984600,90.000000,top
"R24","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.627500,-82.800000,0.000000,top
"R25","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",201.250000,-90.475000,-90.000000,top
"R26","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",201.375000,-79.925000,-90.000000,top
"R27","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",199.775000,-90.400000,-90.000000,top
"R28","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",199.890000,-79.740000,-90.000000,top
"R29","4.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",204.770000,-76.377500,-90.000000,top
"R30","4.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.470000,-79.130000,0.000000,top
"R31","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",193.690800,-74.984600,-90.000000,top
"R32","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",206.300000,-76.387500,-90.000000,top
"R34","4.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.120200,-78.841100,0.000000,top
"R35","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.854000,-76.020600,90.000000,top
"R36","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",179.590000,-79.340000,90.000000,top
"R37","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",181.100000,-79.540000,90.000000,top
"R38","4.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",184.330000,-76.022500,-90.000000,top
"R39","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.067500,-82.803500,0.000000,top
"R42","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.067500,-84.327500,0.000000,top
"R43","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.067500,-85.851500,0.000000,top
"R44","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.067500,-87.375500,0.000000,top
"R45","4.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",174.684000,-74.602500,-90.000000,top
"R46","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",179.300000,-90.500000,90.000000,top
"R47","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",180.775000,-90.475000,90.000000,top
"R48","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",173.160000,-74.602500,90.000000,top
"R49","4.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",173.791800,-78.790300,0.000000,top
"R50","4.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",163.580200,-78.501100,0.000000,top
"R51","50","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",164.200000,-75.975000,90.000000,top
"R52","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.910000,-78.960000,90.000000,top
"R53","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",159.430000,-79.230000,90.000000,top
"R54","4.4K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",162.676000,-75.976900,90.000000,top
